Req ID,Chapter,Section,Requirement,Control Type,Level,L1,L2,L3,ATT&CK / ATLAS,CWE,CIS Benchmark,NIST CSF,Status,Notes
BSVS-1.1.1,"V1: Browser Governance, Ownership & Policy",1.1 Ownership & Accountability,Verify that a named owner (role or team) is assigned responsibility for browser security policy and configuration across the organization,Governance,L1,_,_,_,,,,,,
BSVS-1.1.2,"V1: Browser Governance, Ownership & Policy",1.1 Ownership & Accountability,"Verify that browser security responsibilities are documented across endpoint, identity, network, and application security functions with defined handoffs",Governance,L2,,_,_,,,,,,
BSVS-1.1.3,"V1: Browser Governance, Ownership & Policy",1.1 Ownership & Accountability,Verify that browser risk is represented in the organization's risk register and reviewed on a defined cadence,Governance,L2,,_,_,,,,,,
BSVS-1.2.1,"V1: Browser Governance, Ownership & Policy",1.2 Policy Coverage,"Verify that an acceptable use policy covers browser usage, including sanctioned browsers, personal profile use, and extension installation",Policy,L1,_,_,_,,,,,,
BSVS-1.2.2,"V1: Browser Governance, Ownership & Policy",1.2 Policy Coverage,"Verify that policy defines which browsers and versions are approved for business use, and prohibits unmanaged browsers for access to sensitive systems",Policy,L2,,_,_,,,,,,
BSVS-1.2.3,"V1: Browser Governance, Ownership & Policy",1.2 Policy Coverage,"Verify that policy addresses BYOD and unmanaged-device browser access to corporate resources, with technical enforcement defined",Policy,L2,,_,_,,,,,,
BSVS-1.2.4,"V1: Browser Governance, Ownership & Policy",1.2 Policy Coverage,"Verify that GenAI usage via the browser (chatbots, sidebars, agents) is covered by policy, including data classification rules for what may be submitted",Policy,L2,,_,_,,,,,,
BSVS-1.3.1,"V1: Browser Governance, Ownership & Policy","1.3 Standards, Exceptions & Review","Verify that a documented exception process exists for deviations from browser policy, with expiry dates and compensating controls",Governance,L2,,_,_,,,,,,
BSVS-1.3.2,"V1: Browser Governance, Ownership & Policy","1.3 Standards, Exceptions & Review",Verify that browser security policies and configurations are reviewed at least annually and after significant browser platform changes,Governance,L2,,_,_,,,,,,
BSVS-1.3.3,"V1: Browser Governance, Ownership & Policy","1.3 Standards, Exceptions & Review",Verify that browser controls are included in internal audit or independent assessment scope,Governance,L3,,,_,,,,,,
BSVS-1.4.1,"V1: Browser Governance, Ownership & Policy",1.4 Vendor & Procurement Governance,"Verify that security requirements (including this standard) are considered when procuring enterprise browsers, browser security tooling, or browser-based SaaS",Governance,L2,,_,_,,,,,,
BSVS-1.4.2,"V1: Browser Governance, Ownership & Policy",1.4 Vendor & Procurement Governance,"Verify that third-party browser components (enterprise browsers, extension vendors) are covered by the organization's third-party risk process",Governance,L3,,,_,,,,,,
BSVS-2.1.1,"V2: Deployment, Configuration & Update Management",2.1 Inventory & Fleet Visibility,Verify that the organization maintains an inventory of browsers (product and version) in use across managed endpoints,Technical,L1,_,_,_,,,,,,
BSVS-2.1.2,"V2: Deployment, Configuration & Update Management",2.1 Inventory & Fleet Visibility,Verify that unmanaged or unapproved browsers on managed endpoints can be detected and remediated,Technical,L2,,_,_,,,,,,
BSVS-2.1.3,"V2: Deployment, Configuration & Update Management",2.1 Inventory & Fleet Visibility,"Verify that browser access to sensitive applications from outside the managed fleet is identified (e.g., via IdP or application logs)",Technical,L3,,,_,,,,,,
BSVS-2.2.1,"V2: Deployment, Configuration & Update Management",2.2 Centralized Configuration Management,"Verify that browser security settings are enforced centrally (e.g., via management policy) rather than relying on user-controlled defaults",Technical,L1,_,_,_,,,,,,
BSVS-2.2.2,"V2: Deployment, Configuration & Update Management",2.2 Centralized Configuration Management,"Verify that enforced configuration is derived from a documented hardening baseline (e.g., CIS Benchmarks) with deviations recorded",Technical,L2,,_,_,,,,,,
BSVS-2.2.3,"V2: Deployment, Configuration & Update Management",2.2 Centralized Configuration Management,"Verify that users cannot disable or override security-relevant policies (e.g., Safe Browsing, extension controls, update settings)",Technical,L2,,_,_,,,,,,
BSVS-2.2.4,"V2: Deployment, Configuration & Update Management",2.2 Centralized Configuration Management,Verify that configuration drift from the approved baseline is detected and alerted,Technical,L3,,,_,,,,,,
BSVS-2.3.1,"V2: Deployment, Configuration & Update Management",2.3 Update & Vulnerability Management,Verify that automatic browser updates are enabled and cannot be disabled by users,Technical,L1,_,_,_,,,,,,
BSVS-2.3.2,"V2: Deployment, Configuration & Update Management",2.3 Update & Vulnerability Management,"Verify that browser versions across the fleet reach the latest stable release within a defined SLA, with reporting on laggards",Technical,L2,,_,_,,,,,,
BSVS-2.3.3,"V2: Deployment, Configuration & Update Management",2.3 Update & Vulnerability Management,Verify that a process exists for emergency deployment of browser patches for actively exploited vulnerabilities (0-days),Technical,L2,,_,_,,,,,,
BSVS-2.3.4,"V2: Deployment, Configuration & Update Management",2.3 Update & Vulnerability Management,Verify that browser and extension vulnerabilities are included in the organization's vulnerability management program,Governance,L2,,_,_,,,,,,
BSVS-2.3.5,"V2: Deployment, Configuration & Update Management",2.3 Update & Vulnerability Management,Verify that relaunch/restart is enforced within a defined window after update download so patches take effect,Technical,L3,,,_,,,,,,
BSVS-2.4.1,"V2: Deployment, Configuration & Update Management",2.4 Feature & API Surface Reduction,"Verify that unneeded high-risk browser capabilities (e.g., WebUSB, WebSerial, WebBluetooth, remote debugging) are disabled by policy where there is no business need",Technical,L2,,_,_,,,,,,
BSVS-2.4.2,"V2: Deployment, Configuration & Update Management",2.4 Feature & API Surface Reduction,Verify that developer tools and browser flags are restricted on endpoints or for users where there is no business need,Technical,L2,,_,_,,,,,,
BSVS-2.4.3,"V2: Deployment, Configuration & Update Management",2.4 Feature & API Surface Reduction,"Verify that legacy or deprecated protocols and features (e.g., insecure TLS versions, deprecated plugin interfaces) are disabled fleet-wide",Technical,L3,,,_,,,,,,
BSVS-2.5.1,"V2: Deployment, Configuration & Update Management",2.5 Profiles & Environment Separation,"Verify that corporate browser profiles are separated from personal profiles, with corporate data confined to managed profiles",Technical,L2,,_,_,,,,,,
BSVS-2.5.2,"V2: Deployment, Configuration & Update Management",2.5 Profiles & Environment Separation,"Verify that sync of corporate profile data (passwords, history, tabs) to personal accounts is blocked",Technical,L2,,_,_,,,,,,
BSVS-2.5.3,"V2: Deployment, Configuration & Update Management",2.5 Profiles & Environment Separation,"Verify that high-risk browsing (unknown sites) can be isolated from sessions accessing sensitive applications (e.g., separate profiles, isolation technology)",Technical,L3,,,_,,,,,,
BSVS-3.1.1,V3: Extension & Plugin Management,3.1 Installation Control,"Verify that users cannot install extensions from arbitrary or unofficial sources (sideloading, developer mode) on managed browsers",Technical,L1,_,_,_,,,,,,
BSVS-3.1.2,V3: Extension & Plugin Management,3.1 Installation Control,"Verify that extension installation is restricted to an approved allowlist, or that a defined blocklist plus permission-based restrictions are enforced",Technical,L2,,_,_,,,,,,
BSVS-3.1.3,V3: Extension & Plugin Management,3.1 Installation Control,Verify that extension installation requests follow a documented review-and-approval workflow,Technical,L3,,,_,,,,,,
BSVS-3.2.1,V3: Extension & Plugin Management,3.2 Review & Risk Assessment,"Verify that a documented process exists for assessing extensions before approval, covering permissions requested, publisher reputation, and data handling",Governance,L2,,_,_,,,,,,
BSVS-3.2.2,V3: Extension & Plugin Management,3.2 Review & Risk Assessment,"Verify that extensions requesting high-risk permissions (e.g., access to all sites, reading browsing data, clipboard, native messaging) receive heightened review",Technical,L2,,_,_,,,,,,
BSVS-3.2.3,V3: Extension & Plugin Management,3.2 Review & Risk Assessment,"Verify that approved extensions are re-assessed on ownership change, permission escalation, or a defined periodic cadence",Technical,L3,,,_,,,,,,
BSVS-3.3.1,V3: Extension & Plugin Management,3.3 Runtime & Lifecycle Control,"Verify that installed extensions across the fleet are inventoried, including version and permission set",Technical,L2,,_,_,,,,,,
BSVS-3.3.2,V3: Extension & Plugin Management,3.3 Runtime & Lifecycle Control,Verify that an extension can be force-removed or disabled fleet-wide within a defined SLA when found malicious or compromised,Technical,L2,,_,_,,,,,,
BSVS-3.3.3,V3: Extension & Plugin Management,3.3 Runtime & Lifecycle Control,Verify that extension permission changes on update are detected and trigger re-review,Technical,L2,,_,_,,,,,,
BSVS-3.3.4,V3: Extension & Plugin Management,3.3 Runtime & Lifecycle Control,"Verify that extensions are blocked or restricted from running on designated sensitive sites (e.g., admin consoles, banking, healthcare records)",Technical,L3,,,_,,,,,,
BSVS-3.4.1,V3: Extension & Plugin Management,3.4 Enterprise-Developed Extensions,Verify that internally developed extensions follow secure development practices and are distributed through managed channels only,Technical,L2,,_,_,,,,,,
BSVS-3.4.2,V3: Extension & Plugin Management,3.4 Enterprise-Developed Extensions,Verify that internally developed extensions undergo security review equivalent to other internal software before deployment,Governance,L3,,,_,,,,,,
BSVS-4.1.1,"V4: Identity, Session & Credential Protection",4.1 Authentication & Federation,Verify that access to sensitive corporate applications through the browser requires SSO with MFA,Technical,L1,_,_,_,,,,,,
BSVS-4.1.2,"V4: Identity, Session & Credential Protection",4.1 Authentication & Federation,"Verify that phishing-resistant authentication (e.g., FIDO2/WebAuthn, passkeys) is deployed for high-value accounts and applications",Technical,L2,,_,_,,,,,,
BSVS-4.1.3,"V4: Identity, Session & Credential Protection",4.1 Authentication & Federation,"Verify that authentication policies evaluate device and browser posture (managed state, browser version) before granting access to sensitive applications",Technical,L3,,,_,,,,,,
BSVS-4.2.1,"V4: Identity, Session & Credential Protection",4.2 Session & Token Protection,Verify that session anomalies (token reuse from new device/location/IP) for critical applications are detected and can trigger revocation,Technical,L2,,_,_,,,,,,
BSVS-4.2.2,"V4: Identity, Session & Credential Protection",4.2 Session & Token Protection,Verify that session lifetimes and re-authentication requirements for sensitive applications are risk-appropriate and enforced,Technical,L2,,_,_,,,,,,
BSVS-4.2.3,"V4: Identity, Session & Credential Protection",4.2 Session & Token Protection,"Verify that session credentials are bound to the device where supported (e.g., device-bound session credentials, token binding mechanisms), so exfiltrated cookies cannot be replayed elsewhere",Technical,L3,,,_,,,,,,
BSVS-4.2.4,"V4: Identity, Session & Credential Protection",4.2 Session & Token Protection,Verify that administrative and privileged web sessions are conducted from hardened or isolated browser environments,Technical,L3,,,_,,,,,,
BSVS-4.3.1,"V4: Identity, Session & Credential Protection",4.3 Credential Storage & Password Management,"Verify that an approved password manager is available to users, and policy defines whether the browser's built-in manager is sanctioned",Technical,L1,_,_,_,,,,,,
BSVS-4.3.2,"V4: Identity, Session & Credential Protection",4.3 Credential Storage & Password Management,"Verify that browser-stored credentials are protected by OS-level encryption tied to the user account, and that saving corporate credentials into unsanctioned stores is restricted",Technical,L2,,_,_,,,,,,
BSVS-4.3.3,"V4: Identity, Session & Credential Protection",4.3 Credential Storage & Password Management,"Verify that credential autofill is restricted to exact-match, legitimate origins (mitigating phishing-site autofill)",Technical,L2,,_,_,,,,,,
BSVS-4.3.4,"V4: Identity, Session & Credential Protection",4.3 Credential Storage & Password Management,"Verify that corporate credentials cannot be entered into known-phishing or non-sanctioned lookalike sites (e.g., password reuse and paste detection for the corporate identity)",Technical,L3,,,_,,,,,,
BSVS-4.4.1,"V4: Identity, Session & Credential Protection",4.4 OAuth & Third-Party Grants,Verify that user consent to third-party OAuth applications for corporate identities is restricted or subject to admin approval,Technical,L2,,_,_,,,,,,
BSVS-4.4.2,"V4: Identity, Session & Credential Protection",4.4 OAuth & Third-Party Grants,Verify that granted OAuth applications and scopes are periodically reviewed and stale or high-risk grants revoked,Governance,L2,,_,_,,,,,,
BSVS-5.1.1,V5: Data Protection & Exfiltration Control,"5.1 Upload, Download & Transfer Control",Verify that downloads from sensitive corporate applications to unmanaged devices or unsanctioned locations can be controlled,Technical,L2,,_,_,,,,,,
BSVS-5.1.2,V5: Data Protection & Exfiltration Control,"5.1 Upload, Download & Transfer Control","Verify that uploads of corporate data to unsanctioned destinations (personal cloud storage, file sharing, webmail) can be detected or blocked, based on data classification",Technical,L2,,_,_,,,,,,
BSVS-5.1.3,V5: Data Protection & Exfiltration Control,"5.1 Upload, Download & Transfer Control","Verify that transfers between corporate and personal contexts of the same service (e.g., corporate vs personal tenant of the same SaaS) are distinguished and controlled (tenant restrictions)",Technical,L3,,,_,,,,,,
BSVS-5.2.1,V5: Data Protection & Exfiltration Control,"5.2 Clipboard, Print & Screen Controls",Verify that copy/paste of sensitive data from designated corporate applications to unsanctioned destinations can be restricted,Technical,L3,,,_,,,,,,
BSVS-5.2.2,V5: Data Protection & Exfiltration Control,"5.2 Clipboard, Print & Screen Controls",Verify that printing and screen capture of designated sensitive web applications can be restricted where required by data classification,Technical,L3,,,_,,,,,,
BSVS-5.3.1,V5: Data Protection & Exfiltration Control,5.3 Shadow SaaS & Unsanctioned Applications,"Verify that SaaS applications accessed through the browser are discoverable (shadow IT visibility), and access to unsanctioned categories can be controlled",Technical,L2,,_,_,,,,,,
BSVS-5.3.2,V5: Data Protection & Exfiltration Control,5.3 Shadow SaaS & Unsanctioned Applications,"Verify that a process exists to sanction, tolerate, or block newly discovered SaaS applications based on risk",Governance,L2,,_,_,,,,,,
BSVS-5.4.1,V5: Data Protection & Exfiltration Control,5.4 GenAI Data Leakage,"Verify that submission of sensitive corporate data to unsanctioned GenAI services via the browser can be detected or blocked, consistent with policy (see 1.2.4)",Technical,L2,,_,_,,,,,,
BSVS-5.4.2,V5: Data Protection & Exfiltration Control,5.4 GenAI Data Leakage,Verify that controls distinguish sanctioned enterprise GenAI tenants from consumer versions of the same tools,Technical,L3,,,_,,,,,,
BSVS-5.5.1,V5: Data Protection & Exfiltration Control,5.5 Local Data Hygiene,Verify that browser-cached corporate data on shared or kiosk endpoints is cleared between users/sessions,Technical,L2,,_,_,,,,,,
BSVS-5.5.2,V5: Data Protection & Exfiltration Control,5.5 Local Data Hygiene,"Verify that corporate data in browser storage (cache, IndexedDB, service workers) on unmanaged devices is minimized or prevented for sensitive applications",Technical,L3,,,_,,,,,,
BSVS-6.1.1,V6: Threat Protection & Safe Browsing,6.1 Malicious Site & Phishing Protection,"Verify that reputation-based protection (e.g., Safe Browsing or equivalent) is enabled and enforced fleet-wide",Technical,L1,_,_,_,,,,,,
BSVS-6.1.2,V6: Threat Protection & Safe Browsing,6.1 Malicious Site & Phishing Protection,"Verify that enhanced or real-time URL protection is enabled for the fleet, with privacy implications assessed and documented",Technical,L2,,_,_,,,,,,
BSVS-6.1.3,V6: Threat Protection & Safe Browsing,6.1 Malicious Site & Phishing Protection,Verify that newly registered/observed domains and known AitM infrastructure indicators can be blocked at or before the browser,Technical,L2,,_,_,,,,,,
BSVS-6.1.4,V6: Threat Protection & Safe Browsing,6.1 Malicious Site & Phishing Protection,Verify that in-browser page analysis or equivalent controls detect credential-harvesting pages impersonating corporate identity providers,Technical,L3,,,_,,,,,,
BSVS-6.2.1,V6: Threat Protection & Safe Browsing,6.2 Download & Content Threats,Verify that downloaded files are scanned by endpoint protection before execution,Technical,L1,_,_,_,,,,,,
BSVS-6.2.2,V6: Threat Protection & Safe Browsing,6.2 Download & Content Threats,Verify that high-risk file types and password-protected archives from uncategorized sources are blocked or sandboxed by policy,Technical,L2,,_,_,,,,,,
BSVS-6.2.3,V6: Threat Protection & Safe Browsing,6.2 Download & Content Threats,"Verify that social-engineering execution patterns delivered via the browser (e.g., copy-run-paste ""ClickFix"" instructions) are addressed by technical control and user awareness",Technical,L2,,_,_,,,,,,
BSVS-6.3.1,V6: Threat Protection & Safe Browsing,6.3 Network & Transport Protections,"Verify that HTTPS is required by default and users are warned or blocked on certificate errors, with error click-through disabled for managed fleets where feasible",Technical,L1,_,_,_,,,,,,
BSVS-6.3.2,V6: Threat Protection & Safe Browsing,6.3 Network & Transport Protections,Verify that DNS-over-HTTPS behavior is explicitly configured to align with enterprise DNS security controls rather than left to browser defaults,Technical,L2,,_,_,,,,,,
BSVS-6.3.3,V6: Threat Protection & Safe Browsing,6.3 Network & Transport Protections,"Verify that TLS inspection, where used, is scoped, documented, and excludes categories where inspection creates unacceptable privacy or legal risk",Technical,L3,,,_,,,,,,
